tau,method,mean_precision,mean_recall,mean_f1,mean_far
1,ARIMA,0.0493,0.4229,0.0869,0.055756
1,LAST,0.0355,0.3084,0.0634,0.054702
1,SMA,0.0569,0.4696,0.0998,0.054846
1,EWMA,0.0399,0.3598,0.0706,0.058603
2,ARIMA,0.0565,0.4463,0.0987,0.055299
2,LAST,0.0398,0.3271,0.0702,0.05449
2,SMA,0.0665,0.507,0.1155,0.054352
2,EWMA,0.0493,0.4252,0.0867,0.058015
3,ARIMA,0.0637,0.4743,0.1101,0.054911
3,LAST,0.0484,0.3762,0.0844,0.05407
3,SMA,0.071,0.535,0.1231,0.05412
3,EWMA,0.0548,0.4463,0.0957,0.057702
5,ARIMA,0.0858,0.5444,0.1445,0.05382
5,LAST,0.0638,0.4463,0.1093,0.053262
5,SMA,0.0916,0.5911,0.1547,0.053078
5,EWMA,0.0727,0.5023,0.1235,0.056764
7,ARIMA,0.1033,0.5911,0.1708,0.052895
7,LAST,0.0744,0.5023,0.1261,0.052683
7,SMA,0.0993,0.5911,0.1658,0.05262
7,EWMA,0.0915,0.5911,0.1539,0.05582
10,ARIMA,0.1151,0.5911,0.1868,0.052215
10,LAST,0.0978,0.5841,0.1637,0.051414
10,SMA,0.1091,0.5911,0.1792,0.05207
10,EWMA,0.0987,0.5911,0.1647,0.055347
